DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/02/10 16:09:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PUREZA,Caatinga,-999.0,0.4,1.0,-5.48492,-35.53957,14.3
2024/03/10 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga,2.0,0.58,0.0,-5.4735,-37.69001,11.7
2024/03/10 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,GOVERNADOR DIX-SEPT ROSADO,Caatinga,2.0,0.39,0.0,-5.40395,-37.63948,12.1
2024/03/12 16:09:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,AREIA BRANCA,Caatinga,-999.0,12.86,0.0,-4.94157,-36.98665,9.1
2024/03/12 16:09:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CEARÁ-MIRIM,Caatinga,2.0,11.2,0.01,-5.72201,-35.43388,13.7
2024/03/17 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga,3.0,2.2,0.0,-5.47362,-37.69738,14.8
2024/03/20 16:43:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ALEXANDRIA,Caatinga,2.0,0.0,0.0,-6.33873,-37.91758,9.5
2024/03/21 15:46:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,-999.0,0.0,0.17,-5.19265,-35.54716,51.5
2024/03/21 15:46:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Mata Atlântica,-999.0,0.0,0.02,-5.18706,-35.51352,48.0
2024/03/22 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,0.0,4.8,0.0,-5.26013,-37.44018,10.0
2024/04/05 16:13:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,1.0,2.86,0.0,-5.15768,-35.55682,12.6
2024/02/08 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,BENTO FERNANDES,Caatinga,8.0,0.0,1.0,-5.65195,-35.71107,11.3
2024/04/15 16:33:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ALEXANDRIA,Caatinga,1.0,14.38,0.0,-6.32855,-37.92146,6.7
2024/04/15 16:33:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JANUÁRIO CICCO,Caatinga,2.0,0.01,0.35,-6.19415,-35.56129,5.4
2024/04/15 16:33:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,3.0,0.0,0.0,-5.1604,-35.55513,6.9
